"sep=,",,,,,
SUBROUTINE,READ,UNDERSTOOD,HAS_DEPENDENCIES,CONVERTED,TESTED
force,0,0,5,0,0
hamilton,1,0,4,1,0
congradq,1,0,5,1,0
congradp,1,0,4,1,0
measure,0,0,6,0,0
sread,0,0,0,0,0
swrite,0,0,0,0,0
init,0,0,2,0,0
addrc,0,0,0,0,0
ia,0,0,0,0,0
gaussp,0,0,0,0,0
gauss0,0,0,0,0,0
reunitarise,0,0,2,0,0
gaugeforce,0,0,3,0,0
zgather,0,0,0,0,0
RANGET,0,0,0,0,0
dslash,0,0,3,0,0
dslashd,0,0,3,0,0
hdslash,0,0,3,0,0
hdslashd,0,0,3,0,0
checkaddr,1,1,0,1,1
fillShallPhi,1,0,0,1,0
index2lcoord,1,1,0,1,1
index2gcoord,1,1,0,1,1
coord2gindex,1,1,0,1,1
testcoord,0,0,1,1,1
randfdump,0,0,1,0,0
znorm2,1,1,0,1,0
